backbone,checkpoint,cpu_percent,cuda_memory_allocated_mb,cuda_memory_reserved_mb,dataset,epoch,event,function,global_step,gpu_memory_total_mb,gpu_memory_used_mb,gpu_utilization_percent,hostname,max_cuda_memory_allocated_mb,max_cuda_memory_reserved_mb,pair_mode,pid,rss_mb,run_id,runtime_log,seconds_since_start,seed,shots,step,timestamp,val_top1
,,0.0,610.20947265625,4860.0,,3,runtime_step,train_stage1,900,23034.0,5576.875,98,modal,3822.82421875,4860.0,,2,5339.0625,promptsrc-nc-main-20260510-192533,/vol/runs/promptsrc-nc-main-20260510-192533/stage1/oxford_flowers/shot16/seed1/ViT-B-16/logs/runtime.jsonl,359.024383791,,,84,2026-05-10T09:36:01.121902Z,
,,0.0,610.20947265625,4860.0,,3,runtime_step,train_stage1,920,23034.0,5576.875,100,modal,3822.82421875,4860.0,,2,5339.0625,promptsrc-nc-main-20260510-192533,/vol/runs/promptsrc-nc-main-20260510-192533/stage1/oxford_flowers/shot16/seed1/ViT-B-16/logs/runtime.jsonl,366.322801941,,,104,2026-05-10T09:36:08.420446Z,
,,0.0,610.20947265625,4860.0,,3,runtime_step,train_stage1,940,23034.0,5576.875,97,modal,3822.82421875,4860.0,,2,5339.06640625,promptsrc-nc-main-20260510-192533,/vol/runs/promptsrc-nc-main-20260510-192533/stage1/oxford_flowers/shot16/seed1/ViT-B-16/logs/runtime.jsonl,373.632206929,,,124,2026-05-10T09:36:15.729663Z,
,,0.0,610.20947265625,4860.0,,3,runtime_step,train_stage1,960,23034.0,5576.875,100,modal,3822.82421875,4860.0,,2,5339.06640625,promptsrc-nc-main-20260510-192533,/vol/runs/promptsrc-nc-main-20260510-192533/stage1/oxford_flowers/shot16/seed1/ViT-B-16/logs/runtime.jsonl,380.965084741,,,144,2026-05-10T09:36:23.062889Z,
,,0.0,610.20947265625,4860.0,,3,runtime_step,train_stage1,980,23034.0,5576.875,100,modal,3822.82421875,4860.0,,2,5339.06640625,promptsrc-nc-main-20260510-192533,/vol/runs/promptsrc-nc-main-20260510-192533/stage1/oxford_flowers/shot16/seed1/ViT-B-16/logs/runtime.jsonl,388.350593803,,,164,2026-05-10T09:36:30.447111Z,
,,0.0,610.20947265625,4860.0,,3,runtime_step,train_stage1,1000,23034.0,5576.875,95,modal,3822.82421875,4860.0,,2,5339.06640625,promptsrc-nc-main-20260510-192533,/vol/runs/promptsrc-nc-main-20260510-192533/stage1/oxford_flowers/shot16/seed1/ViT-B-16/logs/runtime.jsonl,395.824274727,,,184,2026-05-10T09:36:37.920402Z,
,,0.0,610.20947265625,4860.0,,3,runtime_step,train_stage1,1020,23034.0,5576.875,100,modal,3822.82421875,4860.0,,2,5339.06640625,promptsrc-nc-main-20260510-192533,/vol/runs/promptsrc-nc-main-20260510-192533/stage1/oxford_flowers/shot16/seed1/ViT-B-16/logs/runtime.jsonl,403.188536793,,,204,2026-05-10T09:36:45.286178Z,
,,0.0,610.20947265625,4860.0,,3,runtime_step,train_stage1,1040,23034.0,5576.875,98,modal,3822.82421875,4860.0,,2,5339.06640625,promptsrc-nc-main-20260510-192533,/vol/runs/promptsrc-nc-main-20260510-192533/stage1/oxford_flowers/shot16/seed1/ViT-B-16/logs/runtime.jsonl,410.458389816,,,224,2026-05-10T09:36:52.556107Z,
,,0.0,610.20947265625,4860.0,,3,runtime_step,train_stage1,1060,23034.0,5576.875,98,modal,3822.82421875,4860.0,,2,5339.06640625,promptsrc-nc-main-20260510-192533,/vol/runs/promptsrc-nc-main-20260510-192533/stage1/oxford_flowers/shot16/seed1/ViT-B-16/logs/runtime.jsonl,417.674715393,,,244,2026-05-10T09:36:59.772403Z,
,,0.0,610.20947265625,4860.0,,3,runtime_step,train_stage1,1080,23034.0,5576.875,100,modal,3822.82421875,4860.0,,2,5339.06640625,promptsrc-nc-main-20260510-192533,/vol/runs/promptsrc-nc-main-20260510-192533/stage1/oxford_flowers/shot16/seed1/ViT-B-16/logs/runtime.jsonl,424.917954373,,,264,2026-05-10T09:37:07.015658Z,
,,0.0,610.20947265625,4860.0,,3,runtime_step,train_stage1,1100,23034.0,5576.875,97,modal,3822.82421875,4860.0,,2,5339.06640625,promptsrc-nc-main-20260510-192533,/vol/runs/promptsrc-nc-main-20260510-192533/stage1/oxford_flowers/shot16/seed1/ViT-B-16/logs/runtime.jsonl,432.160370095,,,284,2026-05-10T09:37:14.257901Z,
,,0.0,610.20947265625,4860.0,,3,runtime_step,train_stage1,1120,23034.0,5576.875,95,modal,3822.82421875,4860.0,,2,5339.06640625,promptsrc-nc-main-20260510-192533,/vol/runs/promptsrc-nc-main-20260510-192533/stage1/oxford_flowers/shot16/seed1/ViT-B-16/logs/runtime.jsonl,439.456806584,,,304,2026-05-10T09:37:21.553730Z,
,,0.0,610.20947265625,4860.0,,3,runtime_step,train_stage1,1140,23034.0,5576.875,96,modal,3822.82421875,4860.0,,2,5339.06640625,promptsrc-nc-main-20260510-192533,/vol/runs/promptsrc-nc-main-20260510-192533/stage1/oxford_flowers/shot16/seed1/ViT-B-16/logs/runtime.jsonl,446.786780017,,,324,2026-05-10T09:37:28.883427Z,
,,0.0,610.20947265625,4860.0,,3,runtime_step,train_stage1,1160,23034.0,5576.875,100,modal,3822.82421875,4860.0,,2,5339.06640625,promptsrc-nc-main-20260510-192533,/vol/runs/promptsrc-nc-main-20260510-192533/stage1/oxford_flowers/shot16/seed1/ViT-B-16/logs/runtime.jsonl,454.052237155,,,344,2026-05-10T09:37:36.149765Z,
,,0.0,610.20947265625,4860.0,,3,runtime_step,train_stage1,1180,23034.0,5576.875,98,modal,3822.82421875,4860.0,,2,5339.06640625,promptsrc-nc-main-20260510-192533,/vol/runs/promptsrc-nc-main-20260510-192533/stage1/oxford_flowers/shot16/seed1/ViT-B-16/logs/runtime.jsonl,461.317572542,,,364,2026-05-10T09:37:43.415114Z,
,,0.0,610.20947265625,4860.0,,3,runtime_step,train_stage1,1200,23034.0,5576.875,100,modal,3822.82421875,4860.0,,2,5339.06640625,promptsrc-nc-main-20260510-192533,/vol/runs/promptsrc-nc-main-20260510-192533/stage1/oxford_flowers/shot16/seed1/ViT-B-16/logs/runtime.jsonl,468.648558041,,,384,2026-05-10T09:37:50.745201Z,
,,0.0,610.20947265625,4860.0,,3,runtime_step,train_stage1,1220,23034.0,5576.875,98,modal,3822.82421875,4860.0,,2,5339.06640625,promptsrc-nc-main-20260510-192533,/vol/runs/promptsrc-nc-main-20260510-192533/stage1/oxford_flowers/shot16/seed1/ViT-B-16/logs/runtime.jsonl,475.950469584,,,404,2026-05-10T09:37:58.047052Z,
,,0.0,610.20947265625,4860.0,,3,runtime_step,train_stage1,1224,23034.0,5576.875,100,modal,3822.82421875,4860.0,,2,5339.06640625,promptsrc-nc-main-20260510-192533,/vol/runs/promptsrc-nc-main-20260510-192533/stage1/oxford_flowers/shot16/seed1/ViT-B-16/logs/runtime.jsonl,477.41846334900004,,,408,2026-05-10T09:37:59.515578Z,
,,0.0,610.20947265625,4860.0,,4,runtime_step,train_stage1,1240,23034.0,5576.875,100,modal,3822.82421875,4860.0,,2,5339.0703125,promptsrc-nc-main-20260510-192533,/vol/runs/promptsrc-nc-main-20260510-192533/stage1/oxford_flowers/shot16/seed1/ViT-B-16/logs/runtime.jsonl,490.06259593600004,,,16,2026-05-10T09:38:12.156505Z,
,,0.0,610.20947265625,4860.0,,4,runtime_step,train_stage1,1260,23034.0,5576.875,98,modal,3822.82421875,4860.0,,2,5339.0703125,promptsrc-nc-main-20260510-192533,/vol/runs/promptsrc-nc-main-20260510-192533/stage1/oxford_flowers/shot16/seed1/ViT-B-16/logs/runtime.jsonl,497.496564178,,,36,2026-05-10T09:38:19.594228Z,
,,0.0,610.20947265625,4860.0,,4,runtime_step,train_stage1,1280,23034.0,5576.875,98,modal,3822.82421875,4860.0,,2,5339.0703125,promptsrc-nc-main-20260510-192533,/vol/runs/promptsrc-nc-main-20260510-192533/stage1/oxford_flowers/shot16/seed1/ViT-B-16/logs/runtime.jsonl,504.903651939,,,56,2026-05-10T09:38:27.000991Z,
,,0.0,610.20947265625,4860.0,,4,runtime_step,train_stage1,1300,23034.0,5576.875,98,modal,3822.82421875,4860.0,,2,5339.0703125,promptsrc-nc-main-20260510-192533,/vol/runs/promptsrc-nc-main-20260510-192533/stage1/oxford_flowers/shot16/seed1/ViT-B-16/logs/runtime.jsonl,512.298677393,,,76,2026-05-10T09:38:34.396496Z,
